,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,1,1,0,0,1,2479,3013.0,188.0,360.0,1.0,2,0
1,1,1,3+,0,0,5250,0.0,94.0,360.0,1.0,2,0
2,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,1
3,0,0,0,1,1,17263,0.0,225.0,360.0,1.0,1,0
4,1,0,2,0,0,4923,0.0,166.0,360.0,0.0,1,1
5,1,0,0,0,0,6277,0.0,118.0,360.0,0.0,0,0
6,1,1,1,1,0,2653,1500.0,113.0,180.0,0.0,0,1
7,1,1,2,0,1,6250,1300.0,108.0,360.0,1.0,0,0
8,1,1,2,0,0,3717,0.0,120.0,360.0,1.0,1,1
9,1,1,0,0,0,3597,2157.0,119.0,360.0,0.0,0,0
10,1,1,0,1,0,4300,2014.0,194.0,360.0,1.0,0,0
11,1,1,0,1,0,1800,2934.0,93.0,360.0,0.0,2,0
12,1,1,3+,0,0,3466,3428.0,150.0,360.0,1.0,0,1
13,0,0,0,0,0,3159,0.0,100.0,360.0,1.0,1,1
14,1,1,3+,0,0,4106,0.0,40.0,180.0,1.0,0,1
15,1,0,0,0,0,8750,4167.0,308.0,360.0,1.0,0,1
16,1,1,1,0,0,2491,2054.0,104.0,360.0,1.0,1,1
17,1,1,2,0,0,2957,0.0,81.0,360.0,1.0,1,1
18,1,1,2,0,0,3153,1560.0,134.0,360.0,1.0,2,1
19,1,0,0,0,0,2718,0.0,70.0,360.0,1.0,1,1
20,1,1,2,0,0,4708,1387.0,150.0,360.0,1.0,1,0
21,1,1,2,0,0,5185,0.0,155.0,360.0,1.0,1,0
22,1,1,0,0,0,2297,1522.0,104.0,360.0,1.0,2,1
23,1,1,1,0,1,16667,2250.0,86.0,360.0,1.0,1,1
24,0,0,3+,0,0,3083,0.0,255.0,360.0,1.0,0,1
25,0,1,0,0,0,2484,2302.0,137.0,360.0,1.0,1,1
26,1,0,0,0,0,14999,0.0,242.0,360.0,0.0,1,1
27,1,1,0,0,0,3887,2669.0,162.0,360.0,1.0,1,1
28,1,1,2,1,1,6383,1000.0,187.0,360.0,1.0,0,0
29,0,1,0,0,0,3166,0.0,36.0,360.0,1.0,1,0
30,1,1,2,0,0,3283,2035.0,148.0,360.0,1.0,2,0
31,1,1,2,1,0,2281,0.0,113.0,360.0,1.0,0,0
32,1,0,0,0,0,5316,0.0,136.0,360.0,1.0,2,1
33,1,1,2,0,1,6000,0.0,205.0,240.0,1.0,1,1
34,0,0,0,0,1,2600,1717.0,99.0,300.0,1.0,1,0
35,1,1,2,1,0,3273,1820.0,81.0,360.0,1.0,2,1
36,0,1,0,0,0,3167,2283.0,154.0,360.0,1.0,1,0
37,1,1,0,0,0,14683,2100.0,304.0,360.0,1.0,0,0
38,1,1,3+,0,1,5677,1424.0,100.0,360.0,1.0,0,1
39,0,0,0,0,0,2138,0.0,99.0,360.0,0.0,1,0
40,1,1,1,1,0,2239,2524.0,128.0,360.0,1.0,2,1
41,1,1,2,0,1,9323,7873.0,380.0,300.0,1.0,0,1
42,1,1,1,0,0,3750,0.0,116.0,360.0,1.0,1,1
43,0,1,0,0,0,4180,2306.0,182.0,360.0,1.0,1,0
44,1,1,0,0,0,2920,16.12000084,87.0,360.0,1.0,0,1
45,1,1,0,0,0,3859,3300.0,142.0,180.0,1.0,0,1
46,1,1,3+,1,0,2071,754.0,94.0,480.0,1.0,1,1
47,1,0,0,0,1,6400,0.0,200.0,360.0,1.0,0,1
48,1,1,1,0,0,8072,240.0,253.0,360.0,1.0,2,1
49,1,1,0,0,0,4301,0.0,118.0,360.0,1.0,2,0
50,1,1,3+,1,0,3522,0.0,81.0,180.0,1.0,0,1
51,0,0,0,0,0,2507,0.0,56.0,360.0,1.0,0,1
52,1,1,3+,1,0,3173,0.0,74.0,360.0,1.0,1,1
53,1,1,0,0,0,2221,0.0,60.0,360.0,0.0,2,0
54,1,1,2,0,1,7948,7166.0,480.0,360.0,1.0,0,1
55,1,1,0,0,0,2333,2417.0,136.0,360.0,1.0,2,1
56,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,0
57,0,0,0,0,0,7200,0.0,120.0,360.0,1.0,0,1
58,1,1,2,0,1,4583,2083.0,160.0,360.0,1.0,1,0
59,0,0,0,0,0,1500,1800.0,103.0,360.0,0.0,1,1
60,1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,1
61,1,1,0,0,0,2785,2016.0,110.0,360.0,1.0,0,0
62,1,1,0,0,0,10833,0.0,234.0,360.0,1.0,1,0
63,0,0,2,0,0,3427,0.0,138.0,360.0,1.0,2,0
64,1,1,1,0,0,6400,7250.0,180.0,360.0,0.0,2,1
65,1,1,1,0,0,4283,3000.0,172.0,84.0,1.0,0,1
66,0,1,1,0,0,4608,2845.0,140.0,180.0,1.0,1,1
67,1,0,0,0,0,4166,0.0,98.0,360.0,0.0,1,1
68,1,0,0,0,0,6283,4416.0,209.0,360.0,0.0,0,0
69,1,0,1,0,0,37719,0.0,152.0,360.0,1.0,1,0
70,0,0,0,0,0,3180,0.0,71.0,360.0,0.0,2,0
71,1,1,0,0,0,5568,2142.0,175.0,360.0,1.0,0,1
72,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,0
73,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,0
74,1,1,0,0,0,3927,800.0,112.0,360.0,1.0,1,0
75,0,0,1,0,0,4723,0.0,81.0,360.0,1.0,1,1
76,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,0
77,1,1,1,0,0,1625,1803.0,96.0,360.0,1.0,2,0
78,1,1,0,0,0,2499,2458.0,160.0,360.0,1.0,1,1
79,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,0
80,1,0,0,0,0,2014,1929.0,74.0,360.0,1.0,2,1
81,1,1,2,0,0,6250,5654.0,188.0,180.0,1.0,1,1
82,1,0,3+,0,0,9167,0.0,185.0,360.0,1.0,0,1
83,1,1,1,0,0,9538,0.0,187.0,360.0,1.0,2,0
84,1,1,3+,0,0,3430,1250.0,128.0,360.0,0.0,1,1
85,1,0,0,0,0,2526,1783.0,145.0,360.0,1.0,0,1
86,1,1,1,0,1,2895,0.0,95.0,360.0,1.0,1,0
87,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0
88,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,0
89,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1
90,1,1,3+,0,0,4333,1811.0,160.0,360.0,0.0,2,0
91,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1
92,1,1,0,0,0,2425,2340.0,143.0,360.0,1.0,1,1
93,1,1,0,1,0,6096,0.0,218.0,360.0,0.0,0,1
94,1,1,0,1,1,4344,736.0,87.0,360.0,1.0,1,1
95,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1
96,1,1,1,0,0,5500,1260.0,170.0,360.0,1.0,0,0
97,1,1,1,0,0,6875,0.0,200.0,360.0,1.0,1,1
98,1,1,3+,1,1,5703,0.0,130.0,360.0,1.0,0,1
99,0,0,0,1,0,3400,0.0,95.0,360.0,1.0,0,1
100,0,0,0,0,0,4124,0.0,115.0,360.0,1.0,1,0
101,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,1
102,1,1,0,0,0,11146,0.0,136.0,360.0,1.0,2,1
103,1,1,1,0,1,10513,3850.0,160.0,180.0,0.0,2,1
104,0,0,0,0,1,4583,0.0,133.0,360.0,0.0,1,1
105,1,0,0,0,1,6822,0.0,141.0,360.0,1.0,0,0
106,1,1,0,1,0,2917,536.0,66.0,360.0,1.0,0,1
107,1,1,0,1,0,2167,2400.0,115.0,360.0,1.0,2,0
108,1,0,0,0,0,2935,0.0,98.0,360.0,1.0,1,0
109,1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,1,0
110,1,1,1,0,1,8666,4983.0,376.0,360.0,0.0,0,1
111,1,0,0,0,0,2500,0.0,96.0,480.0,1.0,1,1
112,0,0,0,0,0,6000,0.0,156.0,360.0,1.0,2,1
113,1,0,0,0,0,3858,0.0,76.0,360.0,1.0,1,1
114,1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,2,1
115,1,1,2,0,0,5042,2083.0,185.0,360.0,1.0,0,1
116,1,0,2,0,0,4354,0.0,136.0,360.0,1.0,0,1
117,1,1,0,1,0,2454,2333.0,181.0,360.0,0.0,2,1
118,1,0,0,0,1,7085,0.0,84.0,360.0,1.0,1,0
119,1,0,0,0,0,5941,4232.0,296.0,360.0,1.0,1,1
120,1,0,0,0,0,1836,33837.0,90.0,360.0,1.0,2,1
121,1,0,0,0,0,9508,0.0,187.0,360.0,1.0,0,1
122,1,1,1,0,0,3333,3250.0,158.0,360.0,1.0,2,0
123,0,0,0,0,1,7441,0.0,194.0,360.0,1.0,0,1
124,1,1,2,0,0,6700,1750.0,230.0,300.0,1.0,1,1
125,1,1,0,0,0,4600,0.0,73.0,180.0,1.0,1,1
126,0,0,0,0,0,10000,1666.0,225.0,360.0,1.0,0,1
127,1,1,3+,0,0,4342,189.0,124.0,360.0,1.0,1,0
128,1,0,0,0,1,11000,0.0,83.0,360.0,1.0,2,1
129,1,1,0,0,0,3497,1964.0,116.0,360.0,1.0,0,0
130,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,1
131,1,0,0,1,0,3975,2531.0,55.0,360.0,1.0,0,1
132,0,1,0,0,0,4583,0.0,84.0,360.0,1.0,0,1
133,1,0,0,0,0,3418,0.0,127.0,360.0,1.0,1,0
134,1,0,0,0,0,3069,0.0,71.0,480.0,1.0,2,0
135,1,1,3+,0,0,6417,0.0,157.0,180.0,1.0,0,1
136,1,1,0,0,0,3593,4266.0,132.0,180.0,0.0,0,0
137,1,1,2,0,0,6250,1695.0,210.0,360.0,1.0,1,0
138,1,1,0,0,0,2768,1950.0,155.0,360.0,1.0,0,1
139,1,1,2,0,0,3800,3600.0,216.0,360.0,0.0,2,1
140,1,1,3+,0,0,5703,0.0,128.0,360.0,1.0,2,0
141,1,1,0,0,0,1809,1868.0,90.0,360.0,1.0,2,0
142,1,0,1,0,0,4384,1793.0,117.0,360.0,1.0,2,1
143,1,0,0,1,0,2755,0.0,65.0,300.0,1.0,0,0
144,1,1,2,1,0,4652,0.0,110.0,360.0,1.0,0,1
145,1,0,0,0,0,3333,0.0,70.0,360.0,1.0,2,1
146,1,1,3+,0,0,6406,0.0,150.0,360.0,1.0,1,0
147,0,0,0,1,0,2213,0.0,66.0,360.0,1.0,0,0
148,1,0,0,0,0,3254,0.0,50.0,360.0,1.0,2,1
149,1,1,2,0,1,1600,20000.0,239.0,360.0,1.0,2,1
150,1,1,2,1,0,2192,1742.0,45.0,360.0,1.0,1,1
151,1,1,2,0,1,16525,1014.0,150.0,360.0,1.0,0,0
152,1,1,0,0,0,3166,2064.0,104.0,360.0,0.0,2,1
153,1,0,0,1,0,3691,0.0,110.0,360.0,1.0,0,0
154,1,0,0,0,0,2060,2209.0,134.0,360.0,1.0,1,1
155,1,1,0,1,0,3406,4417.0,123.0,360.0,1.0,1,0
156,1,1,0,0,0,2383,3334.0,172.0,360.0,1.0,1,1
157,1,1,1,0,1,2178,0.0,66.0,300.0,0.0,0,1
158,1,1,1,0,0,33846,0.0,260.0,360.0,1.0,1,0
159,1,1,1,0,0,2014,2925.0,113.0,360.0,1.0,2,1
160,1,0,0,0,0,2435,0.0,75.0,360.0,1.0,2,1
161,1,1,1,0,1,10000,0.0,155.0,360.0,1.0,0,1
162,1,1,1,0,0,3155,1779.0,140.0,360.0,1.0,1,1
163,1,1,1,0,0,3315,0.0,96.0,360.0,1.0,1,1
164,1,0,1,1,1,4053,2426.0,158.0,360.0,0.0,2,1
165,1,0,0,0,1,5166,0.0,128.0,360.0,1.0,1,1
166,1,1,1,1,0,2510,1983.0,140.0,180.0,1.0,2,1
167,1,1,3+,1,0,2647,1587.0,173.0,360.0,1.0,0,0
168,1,1,1,0,0,2787,1917.0,146.0,360.0,0.0,0,0
169,1,1,2,0,0,3159,461.0,108.0,84.0,1.0,2,1
170,1,1,1,0,0,3125,2583.0,170.0,360.0,1.0,1,1
171,1,1,0,0,0,3727,1775.0,131.0,360.0,1.0,1,0
172,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,0
173,1,0,0,0,0,4843,3806.0,151.0,360.0,1.0,1,1
174,1,1,0,0,0,2439,3333.0,129.0,360.0,1.0,0,1
175,1,1,0,0,0,3033,1459.0,95.0,360.0,1.0,2,0
176,1,1,3+,0,0,4691,0.0,100.0,360.0,1.0,1,1
177,1,1,0,0,0,14583,0.0,436.0,360.0,1.0,1,1
178,1,1,1,1,0,6608,0.0,137.0,180.0,1.0,2,0
179,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,1
180,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,1
181,1,0,0,0,0,3158,3053.0,89.0,360.0,1.0,0,1
182,1,0,2,0,0,3588,0.0,110.0,360.0,0.0,0,1
183,1,1,0,0,0,3775,0.0,110.0,360.0,1.0,1,0
184,1,1,0,0,0,3993,3274.0,207.0,360.0,1.0,1,1
185,1,1,1,1,0,4554,1229.0,158.0,360.0,1.0,2,1
186,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,1
187,1,1,3+,0,0,39999,0.0,600.0,180.0,0.0,1,0
188,1,1,0,0,0,6133,3906.0,324.0,360.0,1.0,2,1
189,0,1,0,0,0,4583,0.0,112.0,360.0,1.0,0,1
190,0,0,0,0,0,2917,0.0,84.0,360.0,1.0,1,1
191,1,1,2,1,0,1993,1625.0,113.0,180.0,1.0,1,0
